THE	TH IH
AND	AH N D
AND	AH N T
OF	AO F
TO	T AO
A	AH
IN	IY N
I	IY
WAS	W AH S
HE	HH IH
THAT	TH AH T
IT	IY T
HIS	HH IY S
HAD	HH AH D
HAD	HH AH T
AS	AH S
WITH	W IY T HH
WITH	W AH T HH
WITH	W IY D HH
YOU	Y AO UW
FOR	F AO R
HER	HH IH R
BUT	B UW T
IS	IY S
NOT	N AO T
SHE	SH IH
AT	AH T
ON	AO N
BE	B IH
HIM	HH IY M
THEY	TH IH Y
THEY	TH AH Y
BY	B Y
HAVE	HH AH V IH
HAVE	HH AH V AH
THIS	TH IY S
THIS	TH AH S
MY	M Y
WERE	W IH R IH
WERE	W AH R AH
WHICH	W HH IY K HH
WHICH	W HH AH K HH
ALL	AH L L
FROM	F R AO M
FROM	F R AH M
SO	S AO
SAID	S AH IY D
SAID	S AH AH D
SAID	S AH IY T
ONE	AO N IH
ME	M IH
WE	W IH
THERE	TH IH R IH
THERE	TH AH R AH
THEIR	TH IH IY R
THEIR	TH AH AH R
NO	N AO
WHEN	W HH IH N
WHEN	W HH AH N
AN	AH N
OR	AO R
THEM	TH IH M
THEM	TH AH M
WOULD	W AO UW L D
WOULD	W AH AH L D
WOULD	W AO UW L T
IF	IY F
WHO	W HH AO
ARE	AH R IH
BEEN	B IH IH N
BEEN	B AH AH N
WHAT	W HH AH T
UP	UW P
THEN	TH IH N
THEN	TH AH N
OUT	AO UW T
COULD	K AO UW L D
COULD	K AH AH L D
COULD	K AO UW L T
WILL	W IY L L
WILL	W AH L L
INTO	IY N T AO
INTO	AH N T AH
INTO	IY N D AO
MORE	M AO R IH
MORE	M AH R AH
SOME	S AO M IH
SOME	S AH M AH
VERY	V IH R Y
VERY	V AH R Y
MAN	M AH N
DO	D AO
NOW	N AO W
LITTLE	L IY T T L IH
LITTLE	L AH T T L AH
LITTLE	L IY D D L IH
ABOUT	AH B AO UW T
ABOUT	AH B AH AH T
YOUR	Y AO UW R
YOUR	Y AH AH R
DID	D IY D
DID	D IY T
THAN	TH AH N
TIME	T IY M IH
TIME	T AH M AH
LIKE	L IY K IH
LIKE	L AH K AH
UPON	UW P AO N
UPON	AH P AH N
WELL	W IH L L
WELL	W AH L L
HAS	HH AH S
ONLY	AO N L Y
ONLY	AH N L Y
TWO	T W AO
OTHER	AO T HH IH R
OTHER	AH T HH AH R
OTHER	AO D HH IH R
ANY	AH N Y
OUR	AO UW R
MADE	M AH D IH
MADE	M AH D AH
AFTER	AH F T IH R
AFTER	AH F T AH R
AFTER	AH F D IH R
BEFORE	B IH F AO R IH
BEFORE	B AH F AH R AH
ITS	IY T S
ITS	IY D S
DOWN	D AO W N
DOWN	D AH W N
OVER	AO V IH R
OVER	AH V AH R
SUCH	S UW K HH
SUCH	S AH K HH
OLD	AO L D
OLD	AO L T
SEE	S IH IH
THESE	TH IH S IH
THESE	TH AH S AH
KNOW	K N AO W
KNOW	K N AH W
CAME	K AH M IH
CAME	K AH M AH
DAY	D AH Y
GREAT	G R IH AH T
GREAT	G R AH AH T
US	UW S
MISTER	M IY S T IH R
MISTER	M AH S T AH R
MISTER	M IY S D IH R
GOOD	G AO AO D
GOOD	G AH AH D
GOOD	G AO AO T
SHOULD	SH AO UW L D
SHOULD	SH AH AH L D
SHOULD	SH AO UW L T
MUCH	M UW K HH
MUCH	M AH K HH
CAN	K AH N
HOW	HH AO W
WAY	W AH Y
NEVER	N IH V IH R
NEVER	N AH V AH R
MUST	M UW S T
MUST	M AH S T
COME	K AO M IH
COME	K AH M AH
AGAIN	AH G AH IY N
AGAIN	AH G AH AH N
BACK	B AH K K
FIRST	F IY R S T
FIRST	F AH R S T
WHERE	W HH IH R IH
WHERE	W HH AH R AH
GO	G AO
HIMSELF	HH IY M S IH L F
HIMSELF	HH AH M S AH L F
OWN	AO W N
LONG	L AO N G
LONG	L AH N G
MAY	M AH Y
MEN	M IH N
EVEN	IH V IH N
EVEN	AH V AH N
WENT	W IH N T
WENT	W AH N T
SAY	S AH Y
JUST	JH UW S T
JUST	JH AH S T
MIGHT	M IY G HH T
MIGHT	M AH G HH T
HERE	HH IH R IH
HERE	HH AH R AH
THROUGH	TH R AO UW G HH
THROUGH	TH R AH AH G HH
EYES	IH Y IH S
EYES	AH Y AH S
MAKE	M AH K IH
MAKE	M AH K AH
TOO	T AO AO
WITHOUT	W IY T HH AO UW T
WITHOUT	W AH T HH AH AH T
WITHOUT	W IY D HH AO UW T
HOUSE	HH AO UW S IH
HOUSE	HH AH AH S AH
THINK	TH IY N K
THINK	TH AH N K
THOSE	TH AO S IH
THOSE	TH AH S AH
THOUGHT	TH AO UW G HH T
THOUGHT	TH AH AH G HH T
MANY	M AH N Y
MOST	M AO S T
MOST	M AH S T
EVERY	IH V IH R Y
EVERY	AH V AH R Y
LIFE	L IY F IH
LIFE	L AH F AH
AWAY	AH W AH Y
BEING	B IH IY N G
BEING	B AH AH N G
STILL	S T IY L L
STILL	S T AH L L
STILL	S D IY L L
AM	AH M
WHILE	W HH IY L IH
WHILE	W HH AH L AH
NOTHING	N AO T HH IY N G
NOTHING	N AH T HH AH N G
NOTHING	N AO D HH IY N G
DON'T	D AO N T
DON'T	D AH N T
LAST	L AH S T
THOUGH	TH AO UW G HH
THOUGH	TH AH AH G HH
YOUNG	Y AO UW N G
YOUNG	Y AH AH N G
YET	Y IH T
FOUND	F AO UW N D
FOUND	F AH AH N D
FOUND	F AO UW N T
PEOPLE	P IH AO P L IH
PEOPLE	P AH AH P L AH
THREE	TH R IH IH
THREE	TH R AH AH
OFF	AO F F
HAND	HH AH N D
HAND	HH AH N T
GET	G IH T
TAKE	T AH K IH
TAKE	T AH K AH
ASKED	AH S K IH D
ASKED	AH S K AH D
ASKED	AH S K IH T
SAW	S AH W
SAME	S AH M IH
SAME	S AH M AH
NIGHT	N IY G HH T
NIGHT	N AH G HH T
MISSUS	M IY S S UW S
MISSUS	M AH S S AH S
HEAD	HH IH AH D
HEAD	HH AH AH D
HEAD	HH IH AH T
RIGHT	R IY G HH T
RIGHT	R AH G HH T
LEFT	L IH F T
LEFT	L AH F T
ANOTHER	AH N AO T HH IH R
ANOTHER	AH N AH T HH AH R
ANOTHER	AH N AO D HH IH R
TELL	T IH L L
TELL	T AH L L
ONCE	AO N K IH
ONCE	AH N K AH
SHALL	SH AH L L
PLACE	P L AH K IH
PLACE	P L AH K AH
EVER	IH V IH R
EVER	AH V AH R
TOOK	T AO AO K
TOOK	T AH AH K
FACE	F AH K IH
FACE	F AH K AH
SEEMED	S IH IH M IH D
SEEMED	S AH AH M AH D
SEEMED	S IH IH M IH T
ALWAYS	AH L W AH Y S
ROOM	R AO AO M
ROOM	R AH AH M
NEW	N IH W
UNDER	UW N D IH R
UNDER	AH N D AH R
WHY	W HH Y
TOLD	T AO L D
TOLD	T AH L D
TOLD	T AO L T
LOOKED	L AO AO K IH D
LOOKED	L AH AH K AH D
LOOKED	L AO AO K IH T
HEARD	HH IH AH R D
HEARD	HH AH AH R D
HEARD	HH IH AH R T
PUT	P UW T
BECAUSE	B IH K AH UW S IH
BECAUSE	B AH K AH AH S AH
THINGS	TH IY N G S
THINGS	TH AH N G S
SOMETHING	S AO M IH T HH IY N G
SOMETHING	S AH M AH T HH AH N G
SOMETHING	S AO M IH D HH IY N G
LET	L IH T
GOING	G AO IY N G
GOING	G AH AH N G
GIVE	G IY V IH
GIVE	G AH V AH
LOOK	L AO AO K
LOOK	L AH AH K
SOON	S AO AO N
SOON	S AH AH N
THING	TH IY N G
THING	TH AH N G
MIND	M IY N D
MIND	M AH N D
MIND	M IY N T
FATHER	F AH T HH IH R
FATHER	F AH T HH AH R
FATHER	F AH D HH IH R
LOVE	L AO V IH
LOVE	L AH V AH
KNEW	K N IH W
KNEW	K N AH W
EACH	IH AH K HH
EACH	AH AH K HH
FAR	F AH R
AGAINST	AH G AH IY N S T
AGAINST	AH G AH AH N S T
HAVING	HH AH V IY N G
HAVING	HH AH V AH N G
HEART	HH IH AH R T
HEART	HH AH AH R T
MOTHER	M AO T HH IH R
MOTHER	M AH T HH AH R
MOTHER	M AO D HH IH R
WORLD	W AO R L D
WORLD	W AH R L D
WORLD	W AO R L T
FEW	F IH W
BEGAN	B IH G AH N
BEGAN	B AH G AH N
YES	Y IH S
MISS	M IY S S
MISS	M AH S S
DOOR	D AO AO R
DOOR	D AH AH R
BETTER	B IH T T IH R
BETTER	B AH T T AH R
BETTER	B IH D D IH R
WORK	W AO R K
WORK	W AH R K
HOME	HH AO M IH
HOME	HH AH M AH
MOMENT	M AO M IH N T
MOMENT	M AH M AH N T
YEARS	Y IH AH R S
YEARS	Y AH AH R S
